Id	Label	Color
1	Sam Houston St.	5
2	E. Washington	19
3	Abil Chr.	5
4	Georgia State	15
5	Texas A&M	22
6	South Carolina	22
7	E. Illinois	9
8	Minnesota	12
9	Presbyterian	25
10	Northern Illinois	17
11	Missouri St.	11
12	Northwestern St.	5
13	Bryant	24
14	Stony Brook	18
15	Wake Forest	8
16	La.-Monroe	15
17	Chattanooga	23
18	C. Michigan	17
19	Howard	21
20	Akron	17
21	Charlotte	25
22	Campbell	7
23	Reinhardt	23
24	Mercer	23
25	E. Kentucky	9
26	Robert Morris	24
27	Point U	25
28	Charleston So.	25
29	Missouri Baptist	10
30	SE Missouri St.	9
31	Idaho State	19
32	Utah	4
33	Valparaiso	3
34	W. Illinois	11
35	Boise St.	6
36	Ole Miss	22
37	Kentucky Chr.	9
38	Tenn. Tech	9
39	Taylor	16
40	S. Illinois	11
41	Tulane	13
42	Tulsa	13
43	Cal-Poly	19
44	New Mexico St.	15
45	Union College (KY)	9
46	Murray St.	9
47	North Dakota	19
48	San Jose St.	6
49	Rutgers	12
50	Washington St.	4
51	Weber St.	19
52	Arizona St.	4
53	Temple	13
54	Vanderbilt	22
55	BYU	6
56	Connecticut	13
57	Villanova	18
58	Syracuse	8
59	Jacksonville St.	9
60	Michigan St.	12
61	Bowling Green	17
62	W. Kentucky	20
63	Colorado St.	6
64	Colorado	4
65	Texas-San Antonio	20
66	Houston	13
67	UNLV	6
68	Arizona	4
69	Penn St.	12
70	UCF	13
71	UCLA	4
72	Virginia	8
73	Delaware	18
74	Pittsburgh	8
75	W. Michigan	17
76	Purdue	12
77	Wagner	24
78	Georgetown	14
79	N. Iowa	11
80	Iowa	12
81	Ohio St.	12
82	Navy	15
83	Troy	15
84	UAB	20
85	Appalachian St.	15
86	Michigan	12
87	UT Martin	9
88	Kentucky	22
89	N. Dakota St.	11
90	Iowa St.	1
91	Youngstown St.	11
92	Illinois	12
93	Indiana St.	11
94	Indiana	12
95	Wofford	23
96	Georgia Tech	8
97	Ga. Southern	15
98	N. Carolina St.	8
99	Delaware St.	21
100	Monmouth	25
101	Colgate	14
102	Ball St.	17
103	Nicholls St.	5
104	Air Force	6
105	So. Utah	19
106	Nevada	6
107	Boston College	8
108	Massachusetts	17
109	California	4
110	Northwestern	12
111	FAU	20
112	Nebraska	12
113	Hampton	21
114	Old Dominion	20
115	South Dakota St.	11
116	Missouri	22
117	Marshall	20
118	Miami (Ohio)	17
119	James Madison	18
120	Maryland	12
121	Rice	20
122	Notre Dame	8
123	Duquesne	24
124	Buffalo	17
125	West Virginia	1
126	Alabama	22
127	UC-Davis	19
128	Stanford	4
129	Portland St.	19
130	Oregon St.	4
131	William & Mary	18
132	Virginia Tech	8
133	Arkansas	22
134	Auburn	22
135	Montana	19
136	Wyoming	6
137	Virginia-Lynchburg	2
138	Alcorn St.	2
139	Faith U.	2
140	Mississippi Valley St.	2
141	S.C. State	21
142	Benedict	21
143	Clemson	8
144	Georgia	22
145	Elon	18
146	Duke	8
147	VMI	23
148	Bucknell	14
149	Coastal Carolina	25
150	The Citadel	23
151	Liberty	25
152	North Carolina	8
153	Morgan St.	21
154	E. Michigan	17
155	Holy Cross	14
156	Albany	18
157	Central Conn. St.	24
158	Towson	18
159	Ohio	17
160	Kent St.	17
161	Morehead St.	7
162	Richmond	18
163	Norfolk St.	21
164	Maine	18
165	Marist	10
166	Sacred Heart	24
167	St. Francis	24
168	Fordham	14
169	Samford	23
170	TCU	1
171	Southern	2
172	UL Lafayette	15
173	Austin Peay	9
174	Memphis	13
175	Stetson	3
176	Warner	10
177	Louisiana Tech	20
178	Oklahoma	1
179	Montana St.	19
180	Arkansas St.	15
181	Sacramento St.	19
182	Incarnate Word	5
183	Bethune-Cook.	21
184	FIU	20
185	W. Carolina	23
186	South Florida	13
187	N. Arizona	19
188	San Diego St.	6
189	Edward Waters	9
190	Tennessee St.	9
191	Ark.-Pine Bluff	2
192	Texas State	15
193	Savannah St.	21
194	M. Tenn. St.	20
195	Florida A&M	21
196	Jackson St.	2
197	Gardner-Webb	25
198	Furman	23
199	Grand View U.	3
200	Drake	7
201	College of Faith	16
202	Davidson	10
203	Cent. Arkansas	5
204	Texas Tech	1
205	New Hampshire	18
206	Toledo	17
207	S.F. Austin	5
208	Kansas St.	1
209	Fresno St.	6
210	USC	4
211	Southern Miss	20
212	Mississippi St.	22
213	Alabama St.	2
214	UTEP	20
215	New Mexico	6
216	North Texas	20
217	Texas	1
218	Grambling	2
219	Lamar	5
220	Florida St.	8
221	Oklahoma St.	1
222	Jacksonville	3
223	SE Louisiana	5
224	NC Central	21
225	East Carolina	13
226	LSU	22
227	Wisconsin	12
228	Montana-Western	19
229	South Dakota	11
230	Oregon	4
231	Washington	4
232	Hawaii	6
233	Alabama A&M	2
234	NC A&T	21
235	Prairie View A&M	2
236	Texas Southern	2
237	Utah St.	6
238	Tennessee	22
239	SMU	13
240	Baylor	1
241	Miami (Fla.)	8
242	Louisville	8
243	Texas College	5
244	Johnson C. Smith	7
245	Army	17
246	McNeese St.	5
247	Lehigh	14
248	Clarion	24
249	Merrimack	24
250	Dayton	3
251	Tuskegee	2
252	South Alabama	15
253	William Penn	11
254	Brevard College	25
255	Florida	22
256	Elizabeth City State	21
257	Central Washington	19
258	Newberry	25
259	Pikeville College	3
260	Lafayette	24
261	Concordia	23
262	Butler	10
263	Wittenberg	16
264	Bluefield State	25
265	Florida Tech	10
266	Central Methodist	2
267	Truman State	3
268	Catawba	16
269	Idaho	15
270	Rhode Island	18
271	Kansas	1
272	Illinois St.	11
273	St. Joseph's (IN)	10
274	McMurry University	5
275	Houston Baptist	5
276	Fort Lewis	19
277	Western New Mexico	16
278	San Diego	10
279	Black Hills State	19
